0.00.170.922 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.318.524 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-BF16-00001-of-00002.gguf'
1.58.775.375 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 1024, kv_unified = 'false'
1.58.837.911 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
1.58.838.328 I srv  llama_server: model loaded
1.58.838.337 I srv  llama_server: listening on http://127.0.0.1:8090
2.01.016.787 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
3.23.851.569 I slot print_timing: id  0 | task 4 | n_decoded =    250, tg =   3.16 t/s, tg_3s =   3.12 t/s
3.23.852.435 I slot print_timing: id  1 | task 2 | n_decoded =    250, tg =   3.16 t/s, tg_3s =   3.12 t/s
3.26.738.328 I slot print_timing: id  2 | task 1 | n_decoded =    260, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.26.739.358 I slot print_timing: id  3 | task 0 | n_decoded =    260, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.27.057.497 I slot print_timing: id  0 | task 4 | n_decoded =    260, tg =   3.16 t/s, tg_3s =   3.12 t/s
3.27.058.406 I slot print_timing: id  1 | task 2 | n_decoded =    260, tg =   3.16 t/s, tg_3s =   3.12 t/s
3.29.947.021 I slot print_timing: id  2 | task 1 | n_decoded =    270, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.29.948.953 I slot print_timing: id  3 | task 0 | n_decoded =    270, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.30.267.419 I slot print_timing: id  0 | task 4 | n_decoded =    270, tg =   3.16 t/s, tg_3s =   3.12 t/s
3.30.268.282 I slot print_timing: id  1 | task 2 | n_decoded =    270, tg =   3.16 t/s, tg_3s =   3.12 t/s
3.33.154.546 I slot print_timing: id  2 | task 1 | n_decoded =    280, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.33.155.375 I slot print_timing: id  3 | task 0 | n_decoded =    280, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.33.473.393 I slot print_timing: id  0 | task 4 | n_decoded =    280, tg =   3.16 t/s, tg_3s =   3.12 t/s
3.33.474.245 I slot print_timing: id  1 | task 2 | n_decoded =    280, tg =   3.16 t/s, tg_3s =   3.12 t/s
3.36.359.797 I slot print_timing: id  2 | task 1 | n_decoded =    290, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.36.360.638 I slot print_timing: id  3 | task 0 | n_decoded =    290, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.36.678.774 I slot print_timing: id  0 | task 4 | n_decoded =    290, tg =   3.16 t/s, tg_3s =   3.12 t/s
3.36.679.740 I slot print_timing: id  1 | task 2 | n_decoded =    290, tg =   3.16 t/s, tg_3s =   3.12 t/s
3.39.565.642 I slot print_timing: id  2 | task 1 | n_decoded =    300, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.39.566.460 I slot print_timing: id  3 | task 0 | n_decoded =    300, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.39.884.509 I slot print_timing: id  0 | task 4 | n_decoded =    300, tg =   3.16 t/s, tg_3s =   3.12 t/s
3.39.885.372 I slot print_timing: id  1 | task 2 | n_decoded =    300, tg =   3.16 t/s, tg_3s =   3.12 t/s
3.42.771.625 I slot print_timing: id  2 | task 1 | n_decoded =    310, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.42.772.441 I slot print_timing: id  3 | task 0 | n_decoded =    310, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.43.090.504 I slot print_timing: id  0 | task 4 | n_decoded =    310, tg =   3.16 t/s, tg_3s =   3.12 t/s
3.43.091.334 I slot print_timing: id  1 | task 2 | n_decoded =    310, tg =   3.16 t/s, tg_3s =   3.12 t/s
3.45.977.133 I slot print_timing: id  2 | task 1 | n_decoded =    320, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.45.978.004 I slot print_timing: id  3 | task 0 | n_decoded =    320, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.46.296.033 I slot print_timing: id  0 | task 4 | n_decoded =    320, tg =   3.15 t/s, tg_3s =   3.12 t/s
3.46.296.876 I slot print_timing: id  1 | task 2 | n_decoded =    320, tg =   3.15 t/s, tg_3s =   3.12 t/s
3.49.183.263 I slot print_timing: id  2 | task 1 | n_decoded =    330, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.49.184.106 I slot print_timing: id  3 | task 0 | n_decoded =    330, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.49.502.152 I slot print_timing: id  0 | task 4 | n_decoded =    330, tg =   3.15 t/s, tg_3s =   3.12 t/s
3.49.503.007 I slot print_timing: id  1 | task 2 | n_decoded =    330, tg =   3.15 t/s, tg_3s =   3.12 t/s
3.52.389.319 I slot print_timing: id  2 | task 1 | n_decoded =    340, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.52.390.178 I slot print_timing: id  3 | task 0 | n_decoded =    340, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.52.708.232 I slot print_timing: id  0 | task 4 | n_decoded =    340, tg =   3.15 t/s, tg_3s =   3.12 t/s
3.52.709.061 I slot print_timing: id  1 | task 2 | n_decoded =    340, tg =   3.15 t/s, tg_3s =   3.12 t/s
3.55.594.665 I slot print_timing: id  2 | task 1 | n_decoded =    350, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.55.595.488 I slot print_timing: id  3 | task 0 | n_decoded =    350, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.55.913.449 I slot print_timing: id  0 | task 4 | n_decoded =    350, tg =   3.15 t/s, tg_3s =   3.12 t/s
3.55.914.297 I slot print_timing: id  1 | task 2 | n_decoded =    350, tg =   3.15 t/s, tg_3s =   3.12 t/s
3.58.800.783 I slot print_timing: id  2 | task 1 | n_decoded =    360, tg =   3.13 t/s, tg_3s =   3.12 t/s
3.58.801.625 I slot print_timing: id  3 | task 0 | n_decoded =    360, tg =   3.13 t/s, tg_3s =   3.12 t/s
3.59.119.622 I slot print_timing: id  0 | task 4 | n_decoded =    360, tg =   3.15 t/s, tg_3s =   3.12 t/s
3.59.120.440 I slot print_timing: id  1 | task 2 | n_decoded =    360, tg =   3.15 t/s, tg_3s =   3.12 t/s
4.02.006.308 I slot print_timing: id  2 | task 1 | n_decoded =    370, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.02.007.319 I slot print_timing: id  3 | task 0 | n_decoded =    370, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.02.325.486 I slot print_timing: id  0 | task 4 | n_decoded =    370, tg =   3.15 t/s, tg_3s =   3.12 t/s
4.02.326.362 I slot print_timing: id  1 | task 2 | n_decoded =    370, tg =   3.15 t/s, tg_3s =   3.12 t/s
4.05.212.131 I slot print_timing: id  2 | task 1 | n_decoded =    380, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.05.212.990 I slot print_timing: id  3 | task 0 | n_decoded =    380, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.05.530.973 I slot print_timing: id  0 | task 4 | n_decoded =    380, tg =   3.15 t/s, tg_3s =   3.12 t/s
4.05.531.803 I slot print_timing: id  1 | task 2 | n_decoded =    380, tg =   3.15 t/s, tg_3s =   3.12 t/s
4.08.417.687 I slot print_timing: id  2 | task 1 | n_decoded =    390, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.08.418.497 I slot print_timing: id  3 | task 0 | n_decoded =    390, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.08.736.463 I slot print_timing: id  0 | task 4 | n_decoded =    390, tg =   3.15 t/s, tg_3s =   3.12 t/s
4.08.737.306 I slot print_timing: id  1 | task 2 | n_decoded =    390, tg =   3.15 t/s, tg_3s =   3.12 t/s
4.11.622.830 I slot print_timing: id  2 | task 1 | n_decoded =    400, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.11.623.663 I slot print_timing: id  3 | task 0 | n_decoded =    400, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.11.941.774 I slot print_timing: id  0 | task 4 | n_decoded =    400, tg =   3.15 t/s, tg_3s =   3.12 t/s
4.11.942.589 I slot print_timing: id  1 | task 2 | n_decoded =    400, tg =   3.15 t/s, tg_3s =   3.12 t/s
4.14.828.976 I slot print_timing: id  2 | task 1 | n_decoded =    410, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.14.829.835 I slot print_timing: id  3 | task 0 | n_decoded =    410, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.15.147.873 I slot print_timing: id  0 | task 4 | n_decoded =    410, tg =   3.15 t/s, tg_3s =   3.12 t/s
