0.00.167.587 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.245.567 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B-ThinkingCap/ThinkingCap-Qwen3.6-27B-Q8_0-MTP.gguf'
0.46.294.074 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'false'
0.46.340.530 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.46.340.600 I srv  llama_server: model loaded
0.46.340.608 I srv  llama_server: listening on http://127.0.0.1:8090
0.50.182.040 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.50.784.057 I slot print_timing: id  2 | task 1 | n_decoded =    316, tg =   5.54 t/s, tg_3s =   5.29 t/s
1.50.784.857 I slot print_timing: id  3 | task 2 | n_decoded =    316, tg =   5.54 t/s, tg_3s =   5.29 t/s
1.53.805.028 I slot print_timing: id  0 | task 3 | n_decoded =    332, tg =   5.52 t/s, tg_3s =   5.29 t/s
1.53.805.862 I slot print_timing: id  1 | task 0 | n_decoded =    332, tg =   5.52 t/s, tg_3s =   5.29 t/s
1.53.806.679 I slot print_timing: id  2 | task 1 | n_decoded =    332, tg =   5.52 t/s, tg_3s =   5.29 t/s
1.53.807.499 I slot print_timing: id  3 | task 2 | n_decoded =    332, tg =   5.52 t/s, tg_3s =   5.29 t/s
1.56.827.108 I slot print_timing: id  0 | task 3 | n_decoded =    348, tg =   5.51 t/s, tg_3s =   5.29 t/s
1.56.827.932 I slot print_timing: id  1 | task 0 | n_decoded =    348, tg =   5.51 t/s, tg_3s =   5.29 t/s
1.56.828.755 I slot print_timing: id  2 | task 1 | n_decoded =    348, tg =   5.51 t/s, tg_3s =   5.29 t/s
1.56.829.560 I slot print_timing: id  3 | task 2 | n_decoded =    348, tg =   5.51 t/s, tg_3s =   5.29 t/s
1.59.851.069 I slot print_timing: id  0 | task 3 | n_decoded =    364, tg =   5.50 t/s, tg_3s =   5.29 t/s
1.59.851.905 I slot print_timing: id  1 | task 0 | n_decoded =    364, tg =   5.50 t/s, tg_3s =   5.29 t/s
1.59.852.738 I slot print_timing: id  2 | task 1 | n_decoded =    364, tg =   5.50 t/s, tg_3s =   5.29 t/s
1.59.853.566 I slot print_timing: id  3 | task 2 | n_decoded =    364, tg =   5.50 t/s, tg_3s =   5.29 t/s
2.02.874.407 I slot print_timing: id  0 | task 3 | n_decoded =    380, tg =   5.49 t/s, tg_3s =   5.29 t/s
2.02.875.237 I slot print_timing: id  1 | task 0 | n_decoded =    380, tg =   5.49 t/s, tg_3s =   5.29 t/s
2.02.876.090 I slot print_timing: id  2 | task 1 | n_decoded =    380, tg =   5.49 t/s, tg_3s =   5.29 t/s
2.02.876.940 I slot print_timing: id  3 | task 2 | n_decoded =    380, tg =   5.49 t/s, tg_3s =   5.29 t/s
2.05.898.290 I slot print_timing: id  0 | task 3 | n_decoded =    396, tg =   5.48 t/s, tg_3s =   5.29 t/s
2.05.899.113 I slot print_timing: id  1 | task 0 | n_decoded =    396, tg =   5.48 t/s, tg_3s =   5.29 t/s
2.05.899.947 I slot print_timing: id  2 | task 1 | n_decoded =    396, tg =   5.48 t/s, tg_3s =   5.29 t/s
2.05.900.778 I slot print_timing: id  3 | task 2 | n_decoded =    396, tg =   5.48 t/s, tg_3s =   5.29 t/s
2.08.922.400 I slot print_timing: id  0 | task 3 | n_decoded =    412, tg =   5.48 t/s, tg_3s =   5.29 t/s
2.08.923.235 I slot print_timing: id  1 | task 0 | n_decoded =    412, tg =   5.48 t/s, tg_3s =   5.29 t/s
2.08.924.156 I slot print_timing: id  2 | task 1 | n_decoded =    412, tg =   5.48 t/s, tg_3s =   5.29 t/s
2.08.924.991 I slot print_timing: id  3 | task 2 | n_decoded =    412, tg =   5.48 t/s, tg_3s =   5.29 t/s
2.11.945.785 I slot print_timing: id  0 | task 3 | n_decoded =    428, tg =   5.47 t/s, tg_3s =   5.29 t/s
2.11.946.634 I slot print_timing: id  1 | task 0 | n_decoded =    428, tg =   5.47 t/s, tg_3s =   5.29 t/s
2.11.947.501 I slot print_timing: id  2 | task 1 | n_decoded =    428, tg =   5.47 t/s, tg_3s =   5.29 t/s
2.11.948.375 I slot print_timing: id  3 | task 2 | n_decoded =    428, tg =   5.47 t/s, tg_3s =   5.29 t/s
2.14.970.023 I slot print_timing: id  0 | task 3 | n_decoded =    444, tg =   5.46 t/s, tg_3s =   5.29 t/s
2.14.970.871 I slot print_timing: id  1 | task 0 | n_decoded =    444, tg =   5.46 t/s, tg_3s =   5.29 t/s
2.14.971.697 I slot print_timing: id  2 | task 1 | n_decoded =    444, tg =   5.46 t/s, tg_3s =   5.29 t/s
2.14.972.518 I slot print_timing: id  3 | task 2 | n_decoded =    444, tg =   5.46 t/s, tg_3s =   5.29 t/s
2.17.994.631 I slot print_timing: id  0 | task 3 | n_decoded =    460, tg =   5.46 t/s, tg_3s =   5.29 t/s
2.17.995.500 I slot print_timing: id  1 | task 0 | n_decoded =    460, tg =   5.46 t/s, tg_3s =   5.29 t/s
2.17.996.368 I slot print_timing: id  2 | task 1 | n_decoded =    460, tg =   5.46 t/s, tg_3s =   5.29 t/s
2.17.997.226 I slot print_timing: id  3 | task 2 | n_decoded =    460, tg =   5.46 t/s, tg_3s =   5.29 t/s
2.21.020.072 I slot print_timing: id  0 | task 3 | n_decoded =    476, tg =   5.45 t/s, tg_3s =   5.29 t/s
2.21.020.948 I slot print_timing: id  1 | task 0 | n_decoded =    476, tg =   5.45 t/s, tg_3s =   5.29 t/s
2.21.021.814 I slot print_timing: id  2 | task 1 | n_decoded =    476, tg =   5.45 t/s, tg_3s =   5.29 t/s
2.21.022.643 I slot print_timing: id  3 | task 2 | n_decoded =    476, tg =   5.45 t/s, tg_3s =   5.29 t/s
2.24.062.130 I slot print_timing: id  0 | task 3 | n_decoded =    492, tg =   5.44 t/s, tg_3s =   5.26 t/s
2.24.062.983 I slot print_timing: id  1 | task 0 | n_decoded =    492, tg =   5.44 t/s, tg_3s =   5.26 t/s
2.24.063.822 I slot print_timing: id  2 | task 1 | n_decoded =    492, tg =   5.44 t/s, tg_3s =   5.26 t/s
2.24.064.653 I slot print_timing: id  3 | task 2 | n_decoded =    492, tg =   5.44 t/s, tg_3s =   5.26 t/s
2.27.112.017 I slot print_timing: id  0 | task 3 | n_decoded =    508, tg =   5.44 t/s, tg_3s =   5.25 t/s
2.27.112.895 I slot print_timing: id  1 | task 0 | n_decoded =    508, tg =   5.44 t/s, tg_3s =   5.25 t/s
2.27.113.781 I slot print_timing: id  2 | task 1 | n_decoded =    508, tg =   5.44 t/s, tg_3s =   5.25 t/s
2.27.114.647 I slot print_timing: id  3 | task 2 | n_decoded =    508, tg =   5.44 t/s, tg_3s =   5.25 t/s
2.30.164.824 I slot print_timing: id  0 | task 3 | n_decoded =    524, tg =   5.43 t/s, tg_3s =   5.24 t/s
2.30.165.700 I slot print_timing: id  1 | task 0 | n_decoded =    524, tg =   5.43 t/s, tg_3s =   5.24 t/s
2.30.166.573 I slot print_timing: id  2 | task 1 | n_decoded =    524, tg =   5.43 t/s, tg_3s =   5.24 t/s
2.30.167.438 I slot print_timing: id  3 | task 2 | n_decoded =    524, tg =   5.43 t/s, tg_3s =   5.24 t/s
2.33.219.787 I slot print_timing: id  0 | task 3 | n_decoded =    540, tg =   5.43 t/s, tg_3s =   5.24 t/s
2.33.220.639 I slot print_timing: id  1 | task 0 | n_decoded =    540, tg =   5.43 t/s, tg_3s =   5.24 t/s
