Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1201
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_Half_NN,nn_5120_256_5120_ld_5120_5120_5120,Gemm_Hipblaslt_84744,0.107987
GemmTunableOp_Half_NN,nn_5120_8192_5120_ld_5120_5120_5120,Default,3.39074
GemmTunableOp_Half_NN,nn_27648_480_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.895782
GemmTunableOp_Half_NN,nn_5120_88_13824_ld_5120_13824_5120,Gemm_Hipblaslt_85912,0.244191
GemmTunableOp_Half_NN,nn_27648_432_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.892697
GemmTunableOp_Half_NN,nn_27648_128_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.496912
GemmTunableOp_Half_NN,nn_5120_80_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84763,0.244785
GemmTunableOp_Half_NN,nn_5120_512_13824_ld_5120_13824_5120,Gemm_Rocblas_84767,0.499716
GemmTunableOp_Half_NN,nn_5120_24_5120_ld_5120_5120_5120,Gemm_Hipblaslt_84763,0.0419151
GemmTunableOp_Half_NN,nn_5120_336_5120_ld_5120_5120_5120,Gemm_Hipblaslt_84787,0.142199
GemmTunableOp_Half_NN,nn_5120_96_13824_ld_5120_13824_5120,Gemm_Hipblaslt_85910,0.243536
GemmTunableOp_Half_NN,nn_5120_496_13824_ld_5120_13824_5120,Gemm_Rocblas_84778,0.50427
GemmTunableOp_Half_NN,nn_5120_200_5120_ld_5120_5120_5120,Gemm_Hipblaslt_84791,0.103767
GemmTunableOp_Half_NN,nn_5120_496_5120_ld_5120_5120_5120,Gemm_Hipblaslt_84777,0.178127
GemmTunableOp_Half_NN,nn_5120_432_5120_ld_5120_5120_5120,Gemm_Hipblaslt_84763,0.172913
GemmTunableOp_Half_NN,nn_27648_320_5120_ld_27648_5120_27648,Gemm_Hipblaslt_84784,0.744121
GemmTunableOp_Half_NN,nn_27648_496_5120_ld_27648_5120_27648,Gemm_Hipblaslt_84784,0.896199
GemmTunableOp_Half_NN,nn_27648_208_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.523128
GemmTunableOp_Half_NN,nn_27648_272_5120_ld_27648_5120_27648,Gemm_Rocblas_85902,0.667472
GemmTunableOp_Half_NN,nn_5120_464_5120_ld_5120_5120_5120,Gemm_Hipblaslt_84776,0.179903
GemmTunableOp_Half_NN,nn_5120_192_5120_ld_5120_5120_5120,Gemm_Rocblas_84764,0.084167
GemmTunableOp_Half_NN,nn_5120_160_5120_ld_5120_5120_5120,Gemm_Rocblas_84694,0.0841074
GemmTunableOp_Half_NN,nn_27648_144_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.518237
GemmTunableOp_Half_NN,nn_5120_416_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84756,0.487922
GemmTunableOp_Half_NN,nn_5120_384_13824_ld_5120_13824_5120,Gemm_Rocblas_84785,0.363313
GemmTunableOp_Half_NN,nn_27648_176_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.518877
GemmTunableOp_Half_NN,nn_5120_8192_13824_ld_5120_13824_5120,Gemm_Rocblas_84788,7.28571
GemmTunableOp_Half_NN,nn_5120_24_13824_ld_5120_13824_5120,Gemm_Hipblaslt_85907,0.237224
GemmTunableOp_Half_NN,nn_27648_464_5120_ld_27648_5120_27648,Gemm_Hipblaslt_84787,0.966283
GemmTunableOp_Half_NN,nn_5120_240_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84776,0.289343
GemmTunableOp_Half_NN,nn_5120_400_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84777,0.498334
GemmTunableOp_Half_NN,nn_5120_320_5120_ld_5120_5120_5120,Gemm_Rocblas_84698,0.138662
GemmTunableOp_Half_NN,nn_5120_48_13824_ld_5120_13824_5120,Gemm_Rocblas_85909,0.241144
GemmTunableOp_Half_NN,nn_5120_464_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84766,0.497873
GemmTunableOp_Half_NN,nn_27648_416_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.891085
GemmTunableOp_Half_NN,nn_5120_232_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84776,0.288867
GemmTunableOp_Half_NN,nn_27648_400_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.890043
GemmTunableOp_Half_NN,nn_5120_248_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84776,0.290258
GemmTunableOp_Half_NN,nn_5120_64_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84845,0.243537
GemmTunableOp_Half_NN,nn_5120_272_5120_ld_5120_5120_5120,Gemm_Hipblaslt_85901,0.123027
GemmTunableOp_Half_NN,nn_27648_240_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.531117
GemmTunableOp_Half_NN,nn_27648_368_5120_ld_27648_5120_27648,Gemm_Rocblas_84788,0.763972
GemmTunableOp_Half_NN,nn_5120_40_13824_ld_5120_13824_5120,Gemm_Rocblas_85909,0.239804
GemmTunableOp_Half_NN,nn_5120_368_5120_ld_5120_5120_5120,Gemm_Rocblas_84788,0.143614
GemmTunableOp_Half_NN,nn_5120_192_13824_ld_5120_13824_5120,Gemm_Rocblas_84694,0.256604
GemmTunableOp_Half_NN,nn_5120_448_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84777,0.501207
GemmTunableOp_Half_NN,nn_5120_432_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84777,0.498423
GemmTunableOp_Half_NN,nn_5120_136_13824_ld_5120_13824_5120,Gemm_Rocblas_84694,0.250433
GemmTunableOp_Half_NN,nn_5120_80_5120_ld_5120_5120_5120,Gemm_Hipblaslt_84693,0.0551932
GemmTunableOp_Half_NN,nn_5120_384_5120_ld_5120_5120_5120,Gemm_Hipblaslt_84784,0.13298
GemmTunableOp_Half_NN,nn_27648_512_5120_ld_27648_5120_27648,Gemm_Hipblaslt_84784,0.889544
GemmTunableOp_Half_NN,nn_5120_320_13824_ld_5120_13824_5120,Gemm_Rocblas_84697,0.3575
GemmTunableOp_Half_NN,nn_27648_384_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.698691
GemmTunableOp_Half_NN,nn_5120_152_5120_ld_5120_5120_5120,Gemm_Hipblaslt_84763,0.0839498
GemmTunableOp_Half_NN,nn_5120_232_5120_ld_5120_5120_5120,Gemm_Rocblas_84792,0.106734
GemmTunableOp_Half_NN,nn_5120_200_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84776,0.286733
GemmTunableOp_Half_NN,nn_27648_232_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.528578
GemmTunableOp_Half_NN,nn_5120_120_5120_ld_5120_5120_5120,Gemm_Rocblas_84764,0.0559708
GemmTunableOp_Half_NN,nn_5120_224_5120_ld_5120_5120_5120,Gemm_Rocblas_84792,0.105461
GemmTunableOp_Half_NN,nn_5120_224_13824_ld_5120_13824_5120,Gemm_Rocblas_84777,0.288904
GemmTunableOp_Half_NN,nn_27648_336_5120_ld_27648_5120_27648,Gemm_Rocblas_84788,0.75672
GemmTunableOp_Half_NN,nn_5120_216_5120_ld_5120_5120_5120,Gemm_Rocblas_84792,0.10469
GemmTunableOp_Half_NN,nn_5120_152_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84763,0.253506
GemmTunableOp_Half_NN,nn_5120_112_13824_ld_5120_13824_5120,Gemm_Hipblaslt_85912,0.247979
GemmTunableOp_Half_NN,nn_27648_216_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.528148
GemmTunableOp_Half_NN,nn_5120_184_5120_ld_5120_5120_5120,Gemm_Rocblas_84764,0.0842238
GemmTunableOp_Half_NN,nn_5120_112_5120_ld_5120_5120_5120,Gemm_Rocblas_84764,0.0556524
GemmTunableOp_Half_NN,nn_5120_216_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84776,0.288041
GemmTunableOp_Half_NN,nn_5120_1389_5120_ld_5120_5120_5120,Gemm_Rocblas_84785,0.544508
GemmTunableOp_Half_NN,nn_27648_48_5120_ld_27648_5120_27648,Gemm_Hipblaslt_85911,0.468072
GemmTunableOp_Half_NN,nn_27648_56_5120_ld_27648_5120_27648,Gemm_Hipblaslt_84777,0.477066
GemmTunableOp_Half_NN,nn_5120_128_5120_ld_5120_5120_5120,Gemm_Rocblas_84764,0.0561304
GemmTunableOp_Half_NN,nn_5120_512_5120_ld_5120_5120_5120,Gemm_Rocblas_84759,0.177441
GemmTunableOp_Half_NN,nn_27648_192_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.520592
GemmTunableOp_Half_NN,nn_27648_2_5120_ld_27648_5120_27648,Gemm_Hipblaslt_85917,0.459033
GemmTunableOp_Half_NN,nn_5120_352_13824_ld_5120_13824_5120,Gemm_Rocblas_84785,0.360793
GemmTunableOp_Half_NN,nn_5120_72_5120_ld_5120_5120_5120,Gemm_Rocblas_84694,0.0549876
GemmTunableOp_Half_NN,nn_27648_1389_5120_ld_27648_5120_27648,Gemm_Rocblas_84794,2.9342
GemmTunableOp_Half_NN,nn_27648_184_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.519641
GemmTunableOp_Half_NN,nn_5120_128_13824_ld_5120_13824_5120,Gemm_Rocblas_85913,0.248155
GemmTunableOp_Half_NN,nn_5120_368_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84784,0.363198
GemmTunableOp_Half_NN,nn_5120_160_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84721,0.255091
GemmTunableOp_Half_NN,nn_5120_184_13824_ld_5120_13824_5120,Gemm_Rocblas_84694,0.255824
GemmTunableOp_Half_NN,nn_5120_176_5120_ld_5120_5120_5120,Gemm_Rocblas_84764,0.0838942
GemmTunableOp_Half_NN,nn_5120_144_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84763,0.253024
GemmTunableOp_Half_NN,nn_27648_112_5120_ld_27648_5120_27648,Gemm_Rocblas_84755,0.497562
GemmTunableOp_Half_NN,nn_5120_176_13824_ld_5120_13824_5120,Gemm_Rocblas_84694,0.255831
GemmTunableOp_Half_NN,nn_27648_120_5120_ld_27648_5120_27648,Gemm_Hipblaslt_84793,0.499182
GemmTunableOp_Half_NN,nn_5120_168_5120_ld_5120_5120_5120,Gemm_Rocblas_84764,0.083953
GemmTunableOp_Half_NN,nn_5120_480_5120_ld_5120_5120_5120,Gemm_Hipblaslt_84777,0.178268
GemmTunableOp_Half_NN,nn_27648_168_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.518869
GemmTunableOp_Half_NN,nn_5120_288_5120_ld_5120_5120_5120,Gemm_Hipblaslt_85901,0.123413
GemmTunableOp_Half_NN,nn_5120_168_13824_ld_5120_13824_5120,Gemm_Rocblas_84694,0.256361
GemmTunableOp_Half_NN,nn_5120_304_5120_ld_5120_5120_5120,Gemm_Hipblaslt_84763,0.133741
GemmTunableOp_Half_NN,nn_27648_160_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.521118
GemmTunableOp_Half_NN,nn_27648_152_5120_ld_27648_5120_27648,Gemm_Rocblas_84786,0.518113
GemmTunableOp_Half_NN,nn_5120_16_13824_ld_5120_13824_5120,Gemm_Rocblas_85905,0.234961
GemmTunableOp_Half_NN,nn_5120_144_5120_ld_5120_5120_5120,Gemm_Rocblas_84764,0.0836161
GemmTunableOp_Half_NN,nn_5120_64_5120_ld_5120_5120_5120,Gemm_Rocblas_84694,0.0438003
GemmTunableOp_Half_NN,nn_27648_136_5120_ld_27648_5120_27648,Gemm_Hipblaslt_84784,0.516388
GemmTunableOp_Half_NN,nn_5120_120_13824_ld_5120_13824_5120,Gemm_Rocblas_85913,0.24826
GemmTunableOp_Half_NN,nn_5120_56_5120_ld_5120_5120_5120,Gemm_Rocblas_84694,0.0435519
GemmTunableOp_Half_NN,nn_27648_224_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.53002
GemmTunableOp_Half_NN,nn_5120_104_5120_ld_5120_5120_5120,Gemm_Rocblas_84694,0.0557444
GemmTunableOp_Half_NN,nn_5120_88_5120_ld_5120_5120_5120,Gemm_Rocblas_84764,0.0551532
GemmTunableOp_Half_NN,nn_27648_104_5120_ld_27648_5120_27648,Gemm_Rocblas_84755,0.49402
GemmTunableOp_Half_NN,nn_5120_104_13824_ld_5120_13824_5120,Gemm_Rocblas_85913,0.247584
GemmTunableOp_Half_NN,nn_27648_88_5120_ld_27648_5120_27648,Gemm_Rocblas_85902,0.483639
GemmTunableOp_Half_NN,nn_27648_80_5120_ld_27648_5120_27648,Gemm_Rocblas_85916,0.484175
GemmTunableOp_Half_NN,nn_27648_72_5120_ld_27648_5120_27648,Gemm_Hipblaslt_85901,0.483512
GemmAndBiasTunableOp_Half_NN,nn_7168_1389_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84694,0.709986
GemmAndBiasTunableOp_Half_NN,nn_7168_4_5120_ld_7168_5120_7168,Gemm_Hipblaslt_85051,0.0789822
GemmAndBiasTunableOp_Half_NN,nn_7168_24_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84897,0.0916723
GemmAndBiasTunableOp_Half_NN,nn_7168_32_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84946,0.0899927
GemmAndBiasTunableOp_Half_NN,nn_7168_8_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84898,0.0817578
GemmAndBiasTunableOp_Half_NN,nn_7168_40_5120_ld_7168_5120_7168,Default,0.0900731
GemmAndBiasTunableOp_Half_NN,nn_7168_48_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84856,0.0907766
GemmAndBiasTunableOp_Half_NN,nn_7168_56_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84761,0.0880646
GemmAndBiasTunableOp_Half_NN,nn_7168_64_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84856,0.0896118
GemmAndBiasTunableOp_Half_NN,nn_7168_16_5120_ld_7168_5120_7168,Gemm_Hipblaslt_85076,0.0848798
GemmAndBiasTunableOp_Half_NN,nn_7168_72_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84721,0.0928851
GemmAndBiasTunableOp_Half_NN,nn_7168_88_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84763,0.0936722
GemmAndBiasTunableOp_Half_NN,nn_7168_104_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84784,0.100579
GemmAndBiasTunableOp_Half_NN,nn_7168_1_5120_ld_7168_5120_7168,Gemm_Hipblaslt_85030,0.080171
GemmAndBiasTunableOp_Half_NN,nn_7168_80_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84763,0.0928219
GemmAndBiasTunableOp_Half_NN,nn_7168_112_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84784,0.101643
GemmAndBiasTunableOp_Half_NN,nn_7168_120_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84721,0.0982803
GemmAndBiasTunableOp_Half_NN,nn_7168_128_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84721,0.0992543
GemmAndBiasTunableOp_Half_NN,nn_7168_136_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84763,0.1303
GemmAndBiasTunableOp_Half_NN,nn_7168_336_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84697,0.198446
GemmAndBiasTunableOp_Half_NN,nn_7168_416_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84693,0.247538
GemmAndBiasTunableOp_Half_NN,nn_7168_352_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84697,0.198653
GemmAndBiasTunableOp_Half_NN,nn_7168_304_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84693,0.183875
GemmAndBiasTunableOp_Half_NN,nn_7168_248_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84785,0.139478
GemmAndBiasTunableOp_Half_NN,nn_7168_432_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84693,0.249328
GemmAndBiasTunableOp_Half_NN,nn_7168_464_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84776,0.253719
GemmAndBiasTunableOp_Half_NN,nn_7168_368_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84697,0.198362
GemmAndBiasTunableOp_Half_NN,nn_7168_384_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84697,0.197749
GemmAndBiasTunableOp_Half_NN,nn_7168_448_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84693,0.253293
GemmAndBiasTunableOp_Half_NN,nn_7168_152_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84765,0.135662
GemmAndBiasTunableOp_Half_NN,nn_7168_160_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84784,0.139723
GemmAndBiasTunableOp_Half_NN,nn_7168_224_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84784,0.139491
GemmAndBiasTunableOp_Half_NN,nn_7168_2_5120_ld_7168_5120_7168,Gemm_Hipblaslt_85051,0.0785202
GemmAndBiasTunableOp_Half_NN,nn_7168_176_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84784,0.138308
GemmAndBiasTunableOp_Half_NN,nn_7168_496_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84770,0.254331
GemmAndBiasTunableOp_Half_NN,nn_7168_240_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84784,0.139477
GemmAndBiasTunableOp_Half_NN,nn_7168_168_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84763,0.136662
GemmAndBiasTunableOp_Half_NN,nn_7168_512_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84777,0.253834
GemmAndBiasTunableOp_Half_NN,nn_7168_208_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84784,0.138825
GemmAndBiasTunableOp_Half_NN,nn_7168_400_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84693,0.247417
GemmAndBiasTunableOp_Half_NN,nn_7168_8192_5120_ld_7168_5120_7168,Default,4.69282
GemmAndBiasTunableOp_Half_NN,nn_7168_184_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84784,0.138612
GemmAndBiasTunableOp_Half_NN,nn_7168_288_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84693,0.181804
GemmAndBiasTunableOp_Half_NN,nn_7168_144_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84779,0.131561
GemmAndBiasTunableOp_Half_NN,nn_7168_272_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84693,0.180268
GemmAndBiasTunableOp_Half_NN,nn_7168_232_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84784,0.139288
GemmAndBiasTunableOp_Half_NN,nn_7168_480_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84776,0.254166
GemmAndBiasTunableOp_Half_NN,nn_7168_216_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84784,0.139284
GemmAndBiasTunableOp_Half_NN,nn_7168_96_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84721,0.0941582
GemmAndBiasTunableOp_Half_NN,nn_7168_256_5120_ld_7168_5120_7168,Gemm_Hipblaslt_84784,0.14013
