ts,n,min_w,max_w,mean_w,over_cap,over_cap10,over_cap20,junction_c
1789054164,20,243.0,378.0,329.2,8,5,2,85
1789054165,20,231.0,355.0,326.4,9,3,2,85
1789054166,20,134.0,388.0,312.1,6,4,3,78
1789054167,20,322.0,341.0,330.5,8,1,0,78
1789054168,20,307.0,332.0,328.6,10,0,0,79
1789054169,20,53.0,360.0,252.4,7,3,3,77
1789054170,20,54.0,342.0,308.4,8,1,0,53
1789054171,20,52.0,53.0,52.5,0,0,0,48
1789054172,20,51.0,366.0,110.2,3,3,3,81
1789054173,20,262.0,374.0,326.3,7,3,2,83
1789054174,20,304.0,373.0,333.4,10,4,3,84
1789054175,20,200.0,344.0,322.4,8,2,0,79
1789054176,20,284.0,398.0,331.8,7,4,2,84
1789054177,20,279.0,368.0,329.8,9,3,2,85
1789054178,20,207.0,397.0,325.6,9,4,2,86
1789054179,20,263.0,367.0,326.9,8,3,1,85
1789054180,20,65.0,367.0,314.2,7,4,2,84
1789054181,20,199.0,361.0,323.4,10,4,2,85
1789054182,20,280.0,348.0,327.1,8,4,0,85
1789054183,20,259.0,364.0,329.2,9,6,2,86
1789054184,20,245.0,367.0,329.6,12,5,2,85
1789054185,20,66.0,412.0,321.2,11,5,3,86
1789054186,20,290.0,346.0,324.3,6,2,0,86
1789054187,20,207.0,368.0,323.2,10,2,2,86
1789054188,20,259.0,360.0,313.8,9,4,3,79
1789054189,20,326.0,343.0,330.3,8,1,0,78
1789054190,20,326.0,342.0,330.8,11,1,0,78
1789054191,20,53.0,347.0,272.6,7,1,0,74
1789054192,20,196.0,366.0,317.8,8,2,2,78
1789054193,20,53.0,336.0,276.4,7,0,0,51
1789054194,20,51.0,54.0,53.0,0,0,0,48
1789054195,20,51.0,52.0,51.0,0,0,0,46
1789054196,20,51.0,367.0,267.1,9,7,5,81
1789054197,20,281.0,357.0,329.2,9,4,3,83
1789054198,20,265.0,368.0,323.9,7,2,2,83
1789054199,20,265.0,371.0,329.2,10,2,2,78
