Warning: Permanently added '10.0.0.76' (ED25519) to the list of known hosts.
# RX580 soak start 2026-07-29T23:20:52+00:00 dur=1800s
# vbios=113-58085SHD1-M80 vram=8589934592
t_s,sclk_mhz,mclk_mhz,temp_c,fan_rpm,power_w,busy_pct,vram_used_mb,pcie
1255,1150,300,54,865,33.2,42,262,5.0GT/s,x16
1265,1150,300,53,728,33.1,43,229,5.0GT/s,x16
1275,1150,2100,53,725,37.0,14,229,5.0GT/s,x16
1285,1150,2100,54,727,39.2,29,229,5.0GT/s,x16
1295,1150,2100,53,730,37.2,25,226,5.0GT/s,x16
1305,1150,2100,54,729,39.1,26,229,5.0GT/s,x16
1315,1150,1000,53,728,36.0,23,226,5.0GT/s,x16
1326,1150,300,53,724,38.0,100,229,5.0GT/s,x16
1336,1150,2100,53,732,39.1,25,225,5.0GT/s,x16
1346,1150,2100,53,727,39.2,23,229,5.0GT/s,x16
1356,1150,2100,54,726,40.1,23,229,5.0GT/s,x16
1366,1150,1000,54,727,40.2,23,230,5.0GT/s,x16
1376,1150,2100,54,727,40.1,30,227,5.0GT/s,x16
1386,1150,2100,54,726,41.2,26,225,5.0GT/s,x16
1396,1150,1000,54,726,40.2,45,225,5.0GT/s,x16
1406,1150,2100,55,726,46.1,27,225,5.0GT/s,x16
1416,1150,1000,57,747,54.1,46,231,5.0GT/s,x16
1426,1150,1000,54,765,32.1,19,237,5.0GT/s,x16
1436,1150,300,54,725,32.2,28,234,5.0GT/s,x16
1446,1150,1000,56,751,50.1,36,239,5.0GT/s,x16
1456,1150,2100,61,921,76.1,53,232,5.0GT/s,x16
1466,1150,1000,57,1069,44.0,38,232,5.0GT/s,x16
1476,1150,2100,60,962,68.2,73,238,5.0GT/s,x16
1486,1150,1000,57,1077,47.1,44,242,5.0GT/s,x16
1496,1150,300,52,918,18.0,22,241,5.0GT/s,x16
1506,1150,300,53,735,36.0,90,230,5.0GT/s,x16
1516,1150,300,50,784,18.0,62,228,5.0GT/s,x16
1526,1150,300,51,728,28.0,40,247,5.0GT/s,x16
1536,1150,2100,56,759,56.2,43,258,5.0GT/s,x16
1546,1150,2100,61,933,81.1,100,293,5.0GT/s,x16
1556,1150,2100,55,1066,44.1,29,286,5.0GT/s,x16
1566,1150,2100,60,923,71.1,86,268,5.0GT/s,x16
1576,1150,300,54,1026,32.0,42,266,5.0GT/s,x16
1586,1150,2100,53,882,36.2,24,262,5.0GT/s,x16
1596,1150,300,53,727,32.1,45,231,5.0GT/s,x16
1606,1150,1000,53,730,38.0,25,231,5.0GT/s,x16
1616,1150,2100,53,726,40.0,26,228,5.0GT/s,x16
1626,1150,1000,53,727,37.2,27,233,5.0GT/s,x16
1636,1150,1000,53,731,36.2,24,231,5.0GT/s,x16
1646,1150,1000,53,728,40.0,26,233,5.0GT/s,x16
1656,1150,300,53,725,38.0,100,231,5.0GT/s,x16
1666,1150,300,53,725,35.2,23,230,5.0GT/s,x16
1676,1150,1000,53,725,41.0,28,228,5.0GT/s,x16
1686,1150,2100,53,726,38.0,23,231,5.0GT/s,x16
1696,1150,1000,53,727,40.0,28,230,5.0GT/s,x16
1706,1150,2100,53,727,38.0,22,229,5.0GT/s,x16
1716,1150,1000,54,725,40.1,27,230,5.0GT/s,x16
1726,1150,2100,54,724,45.1,27,230,5.0GT/s,x16
1736,1150,2100,55,731,47.2,30,227,5.0GT/s,x16
1746,1150,2100,56,723,55.1,46,233,5.0GT/s,x16
1756,1150,300,53,744,31.3,40,239,5.0GT/s,x16
1766,1150,300,53,725,30.1,32,236,5.0GT/s,x16
1776,1150,2100,55,750,49.2,18,238,5.0GT/s,x16
1786,1150,2100,60,911,76.2,61,232,5.0GT/s,x16
1796,1150,2100,56,1068,43.2,17,235,5.0GT/s,x16
# soak end 2026-07-29T23:50:58+00:00 elapsed=1806s load_crashes=0
# dmesg gpu errors: 1
# [  761.189767] amdgpu 0000:01:00.0: Disabling VM faults because of PRT request!
