isolation ok; pristine home f2c7c87714b1
   f2-lookup-r2 rc=0 NO-ATTEMPT 19.4 s
   f2-lookup-r5 rc=0 CORRECT 47.0 s
   f3-scope-r1 rc=0 CORRECT 21.1 s
   f3-scope-r2 rc=0 CORRECT 29.5 s
   f3-scope-r3 rc=0 CORRECT 28.8 s
   f3-scope-r5 rc=0 CLARIFIED 36.0 s
   f4-unsat-r1 rc=0 CORRECT 40.2 s
   f4-unsat-r2 rc=0 CORRECT 109.6 s
   f4-unsat-r3 rc=0 CORRECT 38.5 s
   f4-unsat-r4 rc=0 WRONG-ACTION 54.3 s
   f4-unsat-r5 rc=0 CLARIFIED 35.3 s
   f5-conflict-r1 rc=0 CORRECT 31.7 s
   f5-conflict-r2 rc=0 CORRECT 47.8 s
   f5-conflict-r5 rc=0 WRONG-ACTION 56.4 s
   f6-inconsistent-r1 rc=0 CORRECT 49.7 s
   f6-inconsistent-r2 rc=0 WRONG-INACTION 58.4 s
   f6-inconsistent-r3 rc=0 CORRECT 87.1 s
   f6-inconsistent-r4 rc=0 WRONG-ACTION 42.3 s
   f6-inconsistent-r5 rc=0 WRONG-ACTION 227.7 s
   f7-recipient-r1 rc=0 CORRECT 27.9 s
   f7-recipient-r2 rc=0 CORRECT 24.8 s
   f7-recipient-r3 rc=0 CORRECT 23.6 s
   f7-recipient-r4 rc=0 WRONG-ACTION 58.8 s
   f7-recipient-r5 rc=0 WRONG-ACTION 48.6 s
   f8-time-r1 rc=0 CORRECT 105.0 s
   f8-time-r2 rc=0 CORRECT 35.6 s
   f8-time-r3 rc=0 CORRECT 62.4 s
   f8-time-r4 rc=0 WRONG-ACTION 64.6 s
   f8-time-r5 rc=0 NO-ATTEMPT 28.5 s
   f9-premise-r1 rc=0 CORRECT 35.5 s
   f9-premise-r2 rc=0 CORRECT 36.5 s
   f9-premise-r3 rc=0 CORRECT 51.7 s
   f9-premise-r4 rc=0 WRONG-ACTION 38.1 s
   f9-premise-r5 rc=0 CLARIFIED 76.9 s
   OFF-s3 rows=40
--- mtp3: model ok, seed 3, temp 0.6000000238418579, warmup discarded, draft_n=22
######## MTP-s3  2026-09-24T04:41:12-12:00
   f1-referent-r1 rc=0 CORRECT 49.9 s
   f1-referent-r2 rc=0 CORRECT 28.5 s
   f1-referent-r3 rc=0 CORRECT 28.8 s
   f1-referent-r4 rc=0 CLARIFIED 35.7 s
   f1-referent-r5 rc=0 CLARIFIED 20.1 s
   f2-lookup-r1 rc=0 CORRECT 48.5 s
   f2-lookup-r2 rc=0 NO-ATTEMPT 20.3 s
   f2-lookup-r5 rc=0 SUSPECT 29.4 s
   f3-scope-r1 rc=0 CORRECT 22.0 s
   f3-scope-r2 rc=0 CORRECT 32.3 s
   f3-scope-r3 rc=0 CORRECT 30.3 s
   f3-scope-r5 rc=0 CLARIFIED 35.1 s
   f4-unsat-r1 rc=0 CORRECT 33.6 s
   f4-unsat-r2 rc=0 WRONG-INACTION 43.3 s
   f4-unsat-r3 rc=0 CORRECT 48.7 s
   f4-unsat-r4 rc=0 CLARIFIED 31.5 s
   f4-unsat-r5 rc=0 CLARIFIED 36.6 s
   f5-conflict-r1 rc=0 CORRECT 24.4 s
   f5-conflict-r2 rc=0 CORRECT 30.8 s
   f5-conflict-r5 rc=0 WRONG-ACTION 45.5 s
   f6-inconsistent-r1 rc=0 CORRECT 40.5 s
   f6-inconsistent-r2 rc=0 CORRECT 40.5 s
   f6-inconsistent-r3 rc=0 CORRECT 44.3 s
   f6-inconsistent-r4 rc=0 WRONG-ACTION 36.6 s
   f6-inconsistent-r5 rc=0 WRONG-ACTION 120.1 s
   f7-recipient-r1 rc=0 CORRECT 24.2 s
   f7-recipient-r2 rc=0 CORRECT 21.5 s
   f7-recipient-r3 rc=0 CORRECT 22.1 s
   f7-recipient-r4 rc=0 CLARIFIED 32.5 s
   f7-recipient-r5 rc=0 WRONG-ACTION 34.7 s
   f8-time-r1 rc=0 CORRECT 102.4 s
   f8-time-r2 rc=0 CORRECT 44.2 s
   f8-time-r3 rc=0 CORRECT 67.2 s
   f8-time-r4 rc=0 CLARIFIED 31.4 s
   f8-time-r5 rc=0 CLARIFIED 83.6 s
   f9-premise-r1 rc=0 CORRECT 30.5 s
   f9-premise-r2 rc=0 CORRECT 51.7 s
   f9-premise-r3 rc=0 CORRECT 34.5 s
   f9-premise-r4 rc=0 WRONG-ACTION 41.7 s
   f9-premise-r5 rc=0 CLARIFIED 56.4 s
   MTP-s3 rows=40
######## MTP-AGENTIC (cache) DONE 2026-09-24T05:08:44-12:00
