..........................................................................................................done
...done

task	acc_norm
485	48.45360825
486	48.55967078
487	48.66529774
488	48.56557377
489	48.67075665
490	48.77551020
491	48.67617108
492	48.57723577
493	48.47870183
494	48.58299595
495	48.68686869
496	48.58870968
497	48.69215292
498	48.59437751
499	48.69739479
500	48.60000000
501	48.70259481
502	48.80478088
503	48.90656064
504	48.80952381
505	48.71287129
506	48.81422925
507	48.91518738
508	49.01574803
509	49.11591356
510	49.01960784
511	48.92367906
512	49.02343750
513	49.12280702
514	49.02723735
515	49.12621359
516	49.22480620
517	49.12959381
518	49.03474903
519	48.94026975
520	49.03846154
521	48.94433781
522	48.85057471
523	48.94837476
524	48.85496183
525	48.76190476
526	48.66920152
527	48.76660342
528	48.86363636
529	48.96030246
530	49.05660377
531	49.15254237
532	49.24812030
533	49.34333959
534	49.43820225
535	49.34579439
536	49.25373134
537	49.34823091
538	49.25650558
539	49.16512059
540	49.25925926
541	49.35304991
542	49.44649446
543	49.53959484
544	49.63235294
545	49.72477064
546	49.63369963
547	49.72577697
548	49.63503650
549	49.54462659
550	49.63636364
551	49.54627949
552	49.45652174
553	49.54792043
554	49.63898917
555	49.54954955
556	49.64028777
557	49.73070018
558	49.82078853
559	49.91055456
560	49.82142857
561	49.91087344
562	49.82206406
563	49.73357016
564	49.64539007
565	49.73451327
566	49.82332155
567	49.91181658
568	49.82394366
569	49.91212654
570	50.00000000
571	50.08756567
572	50.17482517
573	50.08726003
574	50.17421603
575	50.26086957
576	50.34722222
577	50.25996534
578	50.17301038
579	50.25906736
580	50.17241379
581	50.08605852
582	50.17182131
583	50.08576329
584	50.00000000
585	49.91452991
586	49.82935154
587	49.91482112
588	49.82993197
589	49.74533107
590	49.66101695
591	49.57698816
592	49.49324324
593	49.40978078
594	49.32659933
595	49.41176471
596	49.32885906
597	49.24623116
598	49.16387960
599	49.24874791
600	49.33333333
601	49.25124792
602	49.16943522
603	49.08789386
604	49.17218543
605	49.25619835
606	49.33993399
607	49.42339374
608	49.34210526
609	49.26108374
610	49.18032787
611	49.26350245
612	49.34640523
613	49.26590538
614	49.18566775
615	49.10569106
616	49.18831169
617	49.10858995
618	49.19093851
619	49.27302100
620	49.35483871
621	49.43639291
