..........................................................................................................done
...done

task	acc_norm
485	47.42268041
486	47.53086420
487	47.43326489
488	47.33606557
489	47.44376278
490	47.55102041
491	47.45417515
492	47.35772358
493	47.26166329
494	47.36842105
495	47.47474747
496	47.37903226
497	47.48490946
498	47.38955823
499	47.49498998
500	47.40000000
501	47.50499002
502	47.60956175
503	47.71371769
504	47.61904762
505	47.52475248
506	47.62845850
507	47.73175542
508	47.63779528
509	47.74066798
510	47.64705882
511	47.55381605
512	47.65625000
513	47.75828460
514	47.66536965
515	47.76699029
516	47.86821705
517	47.77562863
518	47.68339768
519	47.59152216
520	47.69230769
521	47.60076775
522	47.50957854
523	47.60994264
524	47.51908397
525	47.42857143
526	47.33840304
527	47.43833017
528	47.53787879
529	47.63705104
530	47.73584906
531	47.83427495
532	47.74436090
533	47.84240150
534	47.94007491
535	47.85046729
536	47.76119403
537	47.85847300
538	47.76951673
539	47.68089054
540	47.77777778
541	47.87430684
542	47.97047970
543	48.06629834
544	48.16176471
545	48.25688073
546	48.16849817
547	48.26325411
548	48.17518248
549	48.08743169
550	48.18181818
551	48.09437387
552	48.00724638
553	48.10126582
554	48.19494585
555	48.10810811
556	48.20143885
557	48.29443447
558	48.38709677
559	48.47942755
560	48.39285714
561	48.48484848
562	48.39857651
563	48.31261101
564	48.22695035
565	48.31858407
566	48.40989399
567	48.50088183
568	48.41549296
569	48.50615114
570	48.59649123
571	48.68651489
572	48.77622378
573	48.69109948
574	48.78048780
575	48.86956522
576	48.95833333
577	48.87348354
578	48.78892734
579	48.87737478
580	48.79310345
581	48.70912220
582	48.79725086
583	48.71355060
584	48.63013699
585	48.54700855
586	48.46416382
587	48.55195911
588	48.46938776
589	48.38709677
590	48.47457627
591	48.39255499
592	48.31081081
593	48.22934233
594	48.14814815
595	48.23529412
596	48.15436242
597	48.07370184
598	47.99331104
599	47.91318865
600	48.00000000
601	47.92013311
602	47.84053156
603	47.76119403
604	47.84768212
605	47.93388430
606	47.85478548
607	47.94069193
608	47.86184211
609	47.78325123
610	47.70491803
611	47.79050736
612	47.87581699
613	47.79771615
614	47.71986971
615	47.64227642
616	47.72727273
617	47.64991896
618	47.73462783
619	47.81906300
620	47.90322581
621	47.98711755
622	48.07073955
623	47.99357945
624	48.07692308
625	48.16000000
626	48.24281150
627	48.16586922
628	48.24840764
629	48.33068362
630	48.25396825
631	48.17749604
632	48.10126582
633	48.18325434
634	48.10725552
635	48.18897638
636	48.11320755
637	48.19466248
638	48.27586207
639	48.35680751
640	48.43750000
641	48.51794072
642	48.59813084
643	48.67807154
644	48.60248447
645	48.68217054
646	48.60681115
647	48.53168470
648	48.45679012
649	48.38212635
650	48.30769231
651	48.38709677
652	48.46625767
653	48.54517611
654	48.62385321
655	48.54961832
656	48.47560976
657	48.55403349
658	48.48024316
659	48.55842185
660	48.63636364
661	48.71406959
662	48.79154079
663	48.86877828
664	48.94578313
665	49.02255639
666	48.94894895
667	49.02548726
668	48.95209581
669	49.02840060
670	49.10447761
671	49.18032787
672	49.25595238
673	49.33135215
674	49.25816024
675	49.33333333
676	49.26035503
677	49.33530281
678	49.26253687
679	49.33726068
680	49.41176471
681	49.33920705
682	49.41348974
683	49.48755490
684	49.56140351
685	49.63503650
686	49.70845481
687	49.78165939
688	49.70930233
689	49.78229318
690	49.71014493
691	49.78292330
692	49.71098266
693	49.78354978
694	49.71181556
695	49.64028777
696	49.56896552
697	49.49784792
698	49.42693410
699	49.49928469
700	49.57142857
701	49.50071327
702	49.57264957
703	49.64438122
704	49.71590909
705	49.78723404
706	49.71671388
707	49.64639321
708	49.57627119
709	49.50634697
710	49.57746479
711	49.50773558
712	49.43820225
713	49.50911641
714	49.57983193
715	49.65034965
716	49.72067039
717	49.79079498
718	49.72144847
719	49.65229485
720	49.58333333
721	49.51456311
722	49.44598338
723	49.51590595
724	49.58563536
725	49.65517241
726	49.72451791
727	49.65612105
728	49.58791209
729	49.65706447
730	49.58904110
731	49.52120383
732	49.45355191
733	49.38608458
734	49.31880109
735	49.38775510
736	49.32065217
737	49.25373134
738	49.18699187
739	49.25575101
740	49.32432432
741	49.25775978
742	49.32614555
743	49.39434724
744	49.32795699
745	49.26174497
746	49.32975871
747	49.26372155
748	49.33155080
749	49.39919893
750	49.33333333
751	49.26764314
752	49.20212766
753	49.13678619
754	49.20424403
755	49.13907285
756	49.20634921
757	49.27344782
758	49.20844327
759	49.14361001
760	49.07894737
761	49.14586071
762	49.08136483
763	49.14809961
764	49.21465969
765	49.28104575
766	49.34725849
767	49.28292047
768	49.34895833
769	49.28478544
770	49.22077922
771	49.28664073
772	49.35233161
773	49.41785252
774	49.48320413
775	49.54838710
776	49.48453608
777	49.42084942
778	49.35732648
779	49.29396662
780	49.35897436
781	49.29577465
782	49.23273657
783	49.29757344
784	49.23469388
785	49.17197452
786	49.23664122
787	49.17407878
788	49.23857868
789	49.30291508
790	49.36708861
791	49.43109987
792	49.36868687
793	49.30643127
794	49.24433249
795	49.18238994
796	49.12060302
797	49.18444166
798	49.24812030
799	49.31163955
800	49.25000000
801	49.18851436
802	49.12718204
803	49.19053549
804	49.12935323
805	49.19254658
806	49.13151365
807	49.07063197
808	49.00990099
809	49.07292954
810	49.01234568
811	49.07521578
812	49.01477833
813	49.07749077
814	49.01719902
815	48.95705521
816	49.01960784
817	48.95960832
818	48.89975550
819	48.84004884
820	48.78048780
821	48.84287454
822	48.78345499
823	48.84568651
824	48.78640777
825	48.72727273
826	48.78934625
827	48.85126965
828	48.91304348
829	48.85404101
830	48.79518072
831	48.73646209
832	48.67788462
833	48.73949580
834	48.68105516
835	48.74251497
836	48.80382775
837	48.74551971
838	48.80668258
839	48.86769964
840	48.80952381
841	48.87039239
842	48.93111639
843	48.99169632
844	48.93364929
845	48.87573964
846	48.93617021
847	48.99645809
848	48.93867925
849	48.99882214
850	49.05882353
851	49.11868390
852	49.06103286
853	49.00351700
854	49.06323185
855	49.12280702
856	49.06542056
857	49.00816803
858	48.95104895
859	48.89406286
860	48.95348837
861	49.01277584
862	48.95591647
