alloc_n,requested_bytes,rt_free_bytes,rt_used_delta_bytes,sysfs_used_bytes,sysfs_used_delta_bytes,charge_ratio
165,1903165440,9164819456,7612661760,4699754496,1906884608,4.0000
166,1914699776,9118682112,7658799104,4711313408,1918443520,4.0000
167,1926234112,9072544768,7704936448,4722868224,1929998336,4.0000
168,1937768448,9026407424,7751073792,4734427136,1941557248,4.0000
169,1949302784,8980270080,7797211136,4745981952,1953112064,4.0000
170,1960837120,8934132736,7843348480,4757540864,1964670976,4.0000
171,1972371456,8848149504,7929331712,4769095680,1976225792,4.0202
172,1983905792,8802012160,7975469056,4780654592,1987784704,4.0201
173,1995440128,8795720704,7981760512,4792209408,1999339520,4.0000
174,2006974464,8741194752,8036286464,4803768320,2010898432,4.0042
175,2018508800,8695057408,8082423808,4815323136,2022453248,4.0042
176,2030043136,8657308672,8120172544,4826882048,2034012160,4.0000
177,2041577472,8611171328,8166309888,4838436864,2045566976,4.0000
178,2053111808,8565033984,8212447232,4849995776,2057125888,4.0000
179,2064646144,8518896640,8258584576,4861550592,2068680704,4.0000
180,2076180480,8472759296,8304721920,4873109504,2080239616,4.0000
181,2087714816,8426621952,8350859264,4884664320,2091794432,4.0000
182,2099249152,8380484608,8396996608,4896223232,2103353344,4.0000
183,2110783488,8294501376,8482979840,4907778048,2114908160,4.0189
184,2122317824,8248364032,8529117184,4919336960,2126467072,4.0188
185,2133852160,8242072576,8535408640,4930891776,2138021888,4.0000
186,2145386496,8195935232,8581545984,4942454784,2149584896,4.0000
187,2156920832,8149797888,8627683328,4954009600,2161139712,4.0000
188,2168455168,8103660544,8673820672,4965568512,2172698624,4.0000
189,2179989504,8057523200,8719958016,4977123328,2184253440,4.0000
190,2191523840,8011385856,8766095360,4988682240,2195812352,4.0000
191,2203058176,7965248512,8812232704,5000237056,2207367168,4.0000
192,2214592512,7919111168,8858370048,5011795968,2218926080,4.0000
193,2226126848,7872973824,8904507392,5023350784,2230480896,4.0000
194,2237661184,7826836480,8950644736,5034909696,2242039808,4.0000
195,2249195520,7740853248,9036627968,5046464512,2253594624,4.0177
196,2260729856,7694715904,9082765312,5058023424,2265153536,4.0176
197,2272264192,7648578560,9128902656,5069578240,2276708352,4.0175
198,2283798528,7642287104,9135194112,5081137152,2288267264,4.0000
199,2295332864,7596149760,9181331456,5092691968,2299822080,4.0000
200,2306867200,7550012416,9227468800,5104250880,2311380992,4.0000
201,2318401536,7503875072,9273606144,5115805696,2322935808,4.0000
202,2329935872,7457737728,9319743488,5127364608,2334494720,4.0000
203,2341470208,7411600384,9365880832,5138919424,2346049536,4.0000
204,2353004544,7365463040,9412018176,5150478336,2357608448,4.0000
205,2364538880,7319325696,9458155520,5162033152,2369163264,4.0000
206,2376073216,7273188352,9504292864,5173592064,2380722176,4.0000
207,2387607552,7227051008,9550430208,5185146880,2392276992,4.0000
208,2399141888,7130582016,9646899200,5196705792,2403835904,4.0210
209,2410676224,7084444672,9693036544,5208260608,2415390720,4.0209
210,2422210560,7088638976,9688842240,5219819520,2426949632,4.0000
211,2433744896,7042501632,9734979584,5231374336,2438504448,4.0000
212,2445279232,6996364288,9781116928,5242933248,2450063360,4.0000
213,2456813568,6950226944,9827254272,5254488064,2461618176,4.0000
214,2468347904,6904089600,9873391616,5266046976,2473177088,4.0000
215,2479882240,6857952256,9919528960,5277601792,2484731904,4.0000
216,2491416576,6811814912,9965666304,5289160704,2496290816,4.0000
217,2502950912,6765677568,10011803648,5300715520,2507845632,4.0000
218,2514485248,6719540224,10057940992,5312274432,2519404544,4.0000
219,2526019584,6633556992,10143924224,5323829248,2530959360,4.0158
220,2537553920,6587419648,10190061568,5335388160,2542518272,4.0157
221,2549088256,6581128192,10196353024,5346942976,2554073088,4.0000
222,2560622592,6534990848,10242490368,5358501888,2565632000,4.0000
223,2572156928,6488853504,10288627712,5370056704,2577186816,4.0000
224,2583691264,6442716160,10334765056,5381615616,2588745728,4.0000
225,2595225600,6396578816,10380902400,5393170432,2600300544,4.0000
226,2606759936,6350441472,10427039744,5404729344,2611859456,4.0000
227,2618294272,6304304128,10473177088,5416284160,2623414272,4.0000
228,2629828608,6258166784,10519314432,5427843072,2634973184,4.0000
229,2641362944,6212029440,10565451776,5439397888,2646528000,4.0000
230,2652897280,6126046208,10651435008,5450956800,2658086912,4.0150
231,2664431616,6079908864,10697572352,5462511616,2669641728,4.0150
232,2675965952,6073617408,10703863808,5474070528,2681200640,4.0000
233,2687500288,6027480064,10750001152,5485625344,2692755456,4.0000
234,2699034624,5981342720,10796138496,5497184256,2704314368,4.0000
235,2710568960,5935205376,10842275840,5508739072,2715869184,4.0000
236,2722103296,5889068032,10888413184,5520297984,2727428096,4.0000
237,2733637632,5842930688,10934550528,5531852800,2738982912,4.0000
238,2745171968,5796793344,10980687872,5543411712,2750541824,4.0000
239,2756706304,5742267392,11035213824,5554966528,2762096640,4.0030
240,2768240640,5696130048,11081351168,5566525440,2773655552,4.0030
241,2779774976,5649992704,11127488512,5578080256,2785210368,4.0030
242,2791309312,5572398080,11205083136,5589639168,2796769280,4.0143
243,2802843648,5526260736,11251220480,5601193984,2808324096,4.0142
244,2814377984,5519969280,11257511936,5612752896,2819883008,4.0000
245,2825912320,5473831936,11303649280,5624307712,2831437824,4.0000
246,2837446656,5427694592,11349786624,5635866624,2842996736,4.0000
247,2848980992,5381557248,11395923968,5647421440,2854551552,4.0000
248,2860515328,5335419904,11442061312,5658980352,2866110464,4.0000
249,2872049664,5289282560,11488198656,5670535168,2877665280,4.0000
250,2883584000,5243145216,11534336000,5682094080,2889224192,4.0000
251,2895118336,5197007872,11580473344,5693648896,2900779008,4.0000
252,2906652672,5150870528,11626610688,5705207808,2912337920,4.0000
253,2918187008,5104733184,11672748032,5716762624,2923892736,4.0000
254,2929721344,5018749952,11758731264,5728321536,2935451648,4.0136
255,2941255680,4972612608,11804868608,5739876352,2947006464,4.0135
256,2952790016,4926475264,11851005952,5751435264,2958565376,4.0135
257,2964324352,4920183808,11857297408,5762990080,2970120192,4.0000
258,2975858688,4874046464,11903434752,5774548992,2981679104,4.0000
259,2987393024,4827909120,11949572096,5786103808,2993233920,4.0000
260,2998927360,4781771776,11995709440,5797662720,3004792832,4.0000
261,3010461696,4735634432,12041846784,5809217536,3016347648,4.0000
262,3021996032,4689497088,12087984128,5820776448,3027906560,4.0000
263,3033530368,4643359744,12134121472,5832331264,3039461376,4.0000
264,3045064704,4597222400,12180258816,5843890176,3051020288,4.0000
265,3056599040,4551085056,12226396160,5855444992,3062575104,4.0000
266,3068133376,4504947712,12272533504,5867003904,3074134016,4.0000
267,3079667712,4418964480,12358516736,5878558720,3085688832,4.0129
268,3091202048,4372827136,12404654080,5890117632,3097247744,4.0129
269,3102736384,4366535680,12410945536,5901672448,3108802560,4.0000
270,3114270720,4320398336,12457082880,5913231360,3120361472,4.0000
271,3125805056,4274260992,12503220224,5924786176,3131916288,4.0000
272,3137339392,4228123648,12549357568,5936345088,3143475200,4.0000
273,3148873728,4173597696,12603883520,5947899904,3155030016,4.0027
274,3160408064,4127460352,12650020864,5959458816,3166588928,4.0027
275,3171942400,4089711616,12687769600,5971013632,3178143744,4.0000
276,3183476736,4043574272,12733906944,5982572544,3189702656,4.0000
277,3195011072,3997436928,12780044288,5994127360,3201257472,4.0000
278,3206545408,3951299584,12826181632,6005686272,3212816384,4.0000
279,3218079744,3865316352,12912164864,6017245184,3224375296,4.0124
280,3229614080,3819179008,12958302208,6028804096,3235934208,4.0123
281,3241148416,3812887552,12964593664,6040358912,3247489024,4.0000
282,3252682752,3766750208,13010731008,6051917824,3259047936,4.0000
283,3264217088,3720612864,13056868352,6063472640,3270602752,4.0000
284,3275751424,3674475520,13103005696,6075031552,3282161664,4.0000
285,3287285760,3628338176,13149143040,6086586368,3293716480,4.0000
286,3298820096,3582200832,13195280384,6098145280,3305275392,4.0000
287,3310354432,3536063488,13241417728,6109700096,3316830208,4.0000
288,3321888768,3489926144,13287555072,6121259008,3328389120,4.0000
289,3333423104,3443788800,13333692416,6132813824,3339943936,4.0000
290,3344957440,3397651456,13379829760,6144372736,3351502848,4.0000
291,3356491776,3311668224,13465812992,6155927552,3363057664,4.0119
292,3368026112,3265530880,13511950336,6167486464,3374616576,4.0118
293,3379560448,3259239424,13518241792,6179041280,3386171392,4.0000
294,3391094784,3213102080,13564379136,6190600192,3397730304,4.0000
295,3402629120,3166964736,13610516480,6202155008,3409285120,4.0000
296,3414163456,3120827392,13656653824,6213713920,3420844032,4.0000
297,3425697792,3074690048,13702791168,6225268736,3432398848,4.0000
298,3437232128,3028552704,13748928512,6236827648,3443957760,4.0000
299,3448766464,2982415360,13795065856,6248382464,3455512576,4.0000
300,3460300800,2936278016,13841203200,6259941376,3467071488,4.0000
301,3471835136,2890140672,13887340544,6271496192,3478626304,4.0000
302,3483369472,2844003328,13933477888,6283055104,3490185216,4.0000
303,3494903808,2758020096,14019461120,6294609920,3501740032,4.0114
304,3506438144,2711882752,14065598464,6306168832,3513298944,4.0114
305,3517972480,2705591296,14071889920,6317723648,3524853760,4.0000
306,3529506816,2651065344,14126415872,6329282560,3536412672,4.0024
307,3541041152,2604928000,14172553216,6340837376,3547967488,4.0024
308,3552575488,2567179264,14210301952,6352396288,3559526400,4.0000
309,3564109824,2521041920,14256439296,6363951104,3571081216,4.0000
310,3575644160,2474904576,14302576640,6375510016,3582640128,4.0000
311,3587178496,2428767232,14348713984,6387064832,3594194944,4.0000
312,3598712832,2382629888,14394851328,6398623744,3605753856,4.0000
313,3610247168,2336492544,14440988672,6410178560,3617308672,4.0000
314,3621781504,2290355200,14487126016,6421737472,3628867584,4.0000
315,3633315840,2204371968,14573109248,6433292288,3640422400,4.0110
316,3644850176,2158234624,14619246592,6444851200,3651981312,4.0109
317,3656384512,2151943168,14625538048,6456406016,3663536128,4.0000
318,3667918848,2105805824,14671675392,6467964928,3675095040,4.0000
319,3679453184,2059668480,14717812736,6479519744,3686649856,4.0000
320,3690987520,2013531136,14763950080,6491078656,3698208768,4.0000
321,3702521856,1967393792,14810087424,6502633472,3709763584,4.0000
322,3714056192,1921256448,14856224768,6514192384,3721322496,4.0000
323,3725590528,1875119104,14902362112,6525747200,3732877312,4.0000
324,3737124864,1828981760,14948499456,6537306112,3744436224,4.0000
325,3748659200,1782844416,14994636800,6548860928,3755991040,4.0000
326,3760193536,1736707072,15040774144,6560419840,3767549952,4.0000
327,3771727872,1650723840,15126757376,6571974656,3779104768,4.0106
328,3783262208,1604586496,15172894720,6583533568,3790663680,4.0105
329,3794796544,1558449152,15219032064,6595088384,3802218496,4.0105
330,3806330880,1552157696,15225323520,6606647296,3813777408,4.0000
331,3817865216,1506020352,15271460864,6618202112,3825332224,4.0000
332,3829399552,1459883008,15317598208,6629761024,3836891136,4.0000
333,3840933888,1413745664,15363735552,6641315840,3848445952,4.0000
334,3852468224,1367608320,15409872896,6652874752,3860004864,4.0000
335,3864002560,1321470976,15456010240,6664429568,3871559680,4.0000
336,3875536896,1275333632,15502147584,6675988480,3883118592,4.0000
337,3887071232,1229196288,15548284928,6687543296,3894673408,4.0000
338,3898605568,1183058944,15594422272,6699102208,3906232320,4.0000
339,3910139904,1136921600,15640559616,6710657024,3917787136,4.0000
340,3921674240,1040452608,15737028608,6722215936,3929346048,4.0128
341,3933208576,994315264,15783165952,6733770752,3940900864,4.0128
342,3944742912,998509568,15778971648,6745329664,3952459776,4.0000
343,3956277248,952372224,15825108992,6756884480,3964014592,4.0000
344,3967811584,906234880,15871246336,6768443392,3975573504,4.0000
345,3979345920,860097536,15917383680,6779998208,3987128320,4.0000
346,3990880256,813960192,15963521024,6791557120,3998687232,4.0000
347,4002414592,767822848,16009658368,6803111936,4010242048,4.0000
348,4013948928,721685504,16055795712,6814670848,4021800960,4.0000
349,4025483264,675548160,16101933056,6826225664,4033355776,4.0000
350,4037017600,629410816,16148070400,6837784576,4044914688,4.0000
351,4048551936,583273472,16194207744,6849339392,4056469504,4.0000
352,4060086272,497290240,16280190976,6860898304,4068028416,4.0098
353,4071620608,451152896,16326328320,6872453120,4079583232,4.0098
354,4083154944,444861440,16332619776,6884012032,4091142144,4.0000
355,4094689280,398724096,16378757120,6895566848,4102696960,4.0000
356,4106223616,352586752,16424894464,6907125760,4114255872,4.0000
357,4117757952,306449408,16471031808,6918680576,4125810688,4.0000
358,4129292288,260312064,16517169152,6930239488,4137369600,4.0000
359,4140826624,214174720,16563306496,6941794304,4148924416,4.0000
360,4152360960,168037376,16609443840,6953353216,4160483328,4.0000
361,4163895296,121900032,16655581184,6964908032,4172038144,4.0000
362,4175429632,75762688,16701718528,6976466944,4183597056,4.0000
363,4186963968,58985472,16718495744,6988021760,4195151872,3.9930
364,4198498304,58985472,16718495744,6999580672,4206710784,3.9820
365,4210032640,58985472,16718495744,7011135488,4218265600,3.9711
366,4221566976,58985472,16718495744,7022694400,4229824512,3.9603
367,4233101312,58985472,16718495744,7034249216,4241379328,3.9495
368,4244635648,58985472,16718495744,7045808128,4252938240,3.9387
369,4256169984,58985472,16718495744,7057362944,4264493056,3.9281
370,4267704320,58985472,16718495744,7068921856,4276051968,3.9174
371,4279238656,58985472,16718495744,7080476672,4287606784,3.9069
372,4290772992,58985472,16718495744,7092039680,4299169792,3.8964
373,4302307328,58985472,16718495744,7103594496,4310724608,3.8859
374,4313841664,58985472,16718495744,7115153408,4322283520,3.8755
375,4325376000,58985472,16718495744,7126708224,4333838336,3.8652
376,4336910336,58985472,16718495744,7138267136,4345397248,3.8549
377,4348444672,58985472,16718495744,7149821952,4356952064,3.8447
378,4359979008,58985472,16718495744,7161380864,4368510976,3.8345
379,4371513344,58985472,16718495744,7172935680,4380065792,3.8244
380,4383047680,58985472,16718495744,7184494592,4391624704,3.8144
381,4394582016,58985472,16718495744,7196049408,4403179520,3.8043
382,4406116352,58985472,16718495744,7207608320,4414738432,3.7944
383,4417650688,58985472,16718495744,7219163136,4426293248,3.7845
384,4429185024,58985472,16718495744,7230722048,4437852160,3.7746
385,4440719360,58985472,16718495744,7242276864,4449406976,3.7648
386,4452253696,58985472,16718495744,7253835776,4460965888,3.7551
387,4463788032,58985472,16718495744,7265390592,4472520704,3.7454
388,4475322368,58985472,16718495744,7276949504,4484079616,3.7357
389,4486856704,58985472,16718495744,7288504320,4495634432,3.7261
390,4498391040,58985472,16718495744,7300063232,4507193344,3.7166
391,4509925376,58985472,16718495744,7311618048,4518748160,3.7070
392,4521459712,58985472,16718495744,7323176960,4530307072,3.6976
393,4532994048,58985472,16718495744,7334731776,4541861888,3.6882
394,4544528384,58985472,16718495744,7346290688,4553420800,3.6788
395,4556062720,58985472,16718495744,7357845504,4564975616,3.6695
396,4567597056,58985472,16718495744,7369404416,4576534528,3.6602
397,4579131392,58985472,16718495744,7380959232,4588089344,3.6510
398,4590665728,58985472,16718495744,7392518144,4599648256,3.6418
399,4602200064,58985472,16718495744,7404072960,4611203072,3.6327
400,4613734400,58985472,16718495744,7415631872,4622761984,3.6236
401,4625268736,58985472,16718495744,7427186688,4634316800,3.6146
402,4636803072,58985472,16718495744,7438745600,4645875712,3.6056
403,4648337408,58985472,16718495744,7450300416,4657430528,3.5967
404,4659871744,58985472,16718495744,7461859328,4668989440,3.5878
405,4671406080,58985472,16718495744,7473414144,4680544256,3.5789
406,4682940416,58985472,16718495744,7484973056,4692103168,3.5701
407,4694474752,58985472,16718495744,7496527872,4703657984,3.5613
408,4706009088,58985472,16718495744,7508086784,4715216896,3.5526
409,4717543424,58985472,16718495744,7519641600,4726771712,3.5439
410,4729077760,58985472,16718495744,7531200512,4738330624,3.5353
411,4740612096,58985472,16718495744,7542755328,4749885440,3.5267
412,4752146432,58985472,16718495744,7554314240,4761444352,3.5181
413,4763680768,58985472,16718495744,7565869056,4772999168,3.5096
414,4775215104,58985472,16718495744,7577427968,4784558080,3.5011
415,4786749440,58985472,16718495744,7588982784,4796112896,3.4927
416,4798283776,58985472,16718495744,7600541696,4807671808,3.4843
417,4809818112,58985472,16718495744,7612096512,4819226624,3.4759
418,4821352448,58985472,16718495744,7623655424,4830785536,3.4676
419,4832886784,58985472,16718495744,7635210240,4842340352,3.4593
420,4844421120,58985472,16718495744,7646769152,4853899264,3.4511
421,4855955456,58985472,16718495744,7658323968,4865454080,3.4429
422,4867489792,58985472,16718495744,7669882880,4877012992,3.4347
423,4879024128,58985472,16718495744,7681437696,4888567808,3.4266
424,4890558464,58985472,16718495744,7692996608,4900126720,3.4185
425,4902092800,58985472,16718495744,7704551424,4911681536,3.4105
426,4913627136,58985472,16718495744,7716110336,4923240448,3.4025
427,4925161472,58985472,16718495744,7727665152,4934795264,3.3945
428,4936695808,58985472,16718495744,7739224064,4946354176,3.3866
429,4948230144,58985472,16718495744,7750778880,4957908992,3.3787
430,4959764480,58985472,16718495744,7762337792,4969467904,3.3708
431,4971298816,58985472,16718495744,7773892608,4981022720,3.3630
432,4982833152,58985472,16718495744,7785451520,4992581632,3.3552
433,4994367488,58985472,16718495744,7797006336,5004136448,3.3475
434,5005901824,58985472,16718495744,7808565248,5015695360,3.3398
435,5017436160,58985472,16718495744,7820120064,5027250176,3.3321
436,5028970496,58985472,16718495744,7831678976,5038809088,3.3244
437,5040504832,58985472,16718495744,7843233792,5050363904,3.3168
438,5052039168,58985472,16718495744,7854792704,5061922816,3.3093
439,5063573504,58985472,16718495744,7866347520,5073477632,3.3017
440,5075107840,58985472,16718495744,7877906432,5085036544,3.2942
