alloc_n,requested_bytes,rt_free_bytes,rt_used_delta_bytes,sysfs_used_bytes,sysfs_used_delta_bytes,charge_ratio
150,5033164800,58985472,16718495744,7815577600,5043011584,3.3217
151,5066719232,58985472,16718495744,7849197568,5076631552,3.2997
152,5100273664,58985472,16718495744,7882817536,5110251520,3.2780
153,5133828096,58985472,16718495744,7916437504,5143871488,3.2565
154,5167382528,58985472,16718495744,7950057472,5177491456,3.2354
155,5200936960,58985472,16718495744,7983677440,5211111424,3.2145
156,5234491392,58985472,16718495744,8017297408,5244731392,3.1939
157,5268045824,58985472,16718495744,8050917376,5278351360,3.1736
158,5301600256,58985472,16718495744,8084537344,5311971328,3.1535
159,5335154688,58985472,16718495744,8118157312,5345591296,3.1336
160,5368709120,58985472,16718495744,8151781376,5379215360,3.1141
161,5402263552,58985472,16718495744,8185401344,5412835328,3.0947
162,5435817984,58985472,16718495744,8219021312,5446455296,3.0756
163,5469372416,58985472,16718495744,8252641280,5480075264,3.0567
164,5502926848,58985472,16718495744,8286261248,5513695232,3.0381
165,5536481280,58985472,16718495744,8319881216,5547315200,3.0197
166,5570035712,58985472,16718495744,8353501184,5580935168,3.0015
167,5603590144,58985472,16718495744,8387121152,5614555136,2.9835
168,5637144576,58985472,16718495744,8420741120,5648175104,2.9658
169,5670699008,58985472,16718495744,8454361088,5681795072,2.9482
170,5704253440,58985472,16718495744,8487981056,5715415040,2.9309
171,5737807872,58985472,16718495744,8521601024,5749035008,2.9137
172,5771362304,58985472,16718495744,8555220992,5782654976,2.8968
173,5804916736,58985472,16718495744,8588840960,5816274944,2.8801
174,5838471168,58985472,16718495744,8622460928,5849894912,2.8635
175,5872025600,58985472,16718495744,8656080896,5883514880,2.8471
176,5905580032,58985472,16718495744,8689700864,5917134848,2.8310
177,5939134464,58985472,16718495744,8723320832,5950754816,2.8150
178,5972688896,58985472,16718495744,8756940800,5984374784,2.7992
179,6006243328,58985472,16718495744,8790560768,6017994752,2.7835
180,6039797760,58985472,16718495744,8824180736,6051614720,2.7681
181,6073352192,58985472,16718495744,8857800704,6085234688,2.7528
182,6106906624,58985472,16718495744,8891420672,6118854656,2.7376
183,6140461056,58985472,16718495744,8925040640,6152474624,2.7227
184,6174015488,58985472,16718495744,8958660608,6186094592,2.7079
185,6207569920,58985472,16718495744,8992280576,6219714560,2.6932
186,6241124352,58985472,16718495744,9025900544,6253334528,2.6788
187,6274678784,58985472,16718495744,9059520512,6286954496,2.6644
188,6308233216,58985472,16718495744,9093140480,6320574464,2.6503
189,6341787648,58985472,16718495744,9126760448,6354194432,2.6362
190,6375342080,58985472,16718495744,9160380416,6387814400,2.6224
191,6408896512,58985472,16718495744,9194000384,6421434368,2.6086
192,6442450944,58985472,16718495744,9227624448,6455058432,2.5951
193,6476005376,58985472,16718495744,9261244416,6488678400,2.5816
194,6509559808,58985472,16718495744,9294864384,6522298368,2.5683
195,6543114240,58985472,16718495744,9328484352,6555918336,2.5551
196,6576668672,58985472,16718495744,9362104320,6589538304,2.5421
197,6610223104,58985472,16718495744,9395724288,6623158272,2.5292
198,6643777536,58985472,16718495744,9429344256,6656778240,2.5164
199,6677331968,58985472,16718495744,9462964224,6690398208,2.5038
200,6710886400,58985472,16718495744,9496584192,6724018176,2.4912
201,6744440832,58985472,16718495744,9530204160,6757638144,2.4789
202,6777995264,58985472,16718495744,9563824128,6791258112,2.4666
203,6811549696,58985472,16718495744,9597444096,6824878080,2.4544
204,6845104128,58985472,16718495744,9631064064,6858498048,2.4424
205,6878658560,58985472,16718495744,9664684032,6892118016,2.4305
206,6912212992,58985472,16718495744,9698304000,6925737984,2.4187
207,6945767424,58985472,16718495744,9731923968,6959357952,2.4070
208,6979321856,58985472,16718495744,9765543936,6992977920,2.3954
209,7012876288,58985472,16718495744,9799163904,7026597888,2.3840
210,7046430720,58985472,16718495744,9832783872,7060217856,2.3726
211,7079985152,58985472,16718495744,9866403840,7093837824,2.3614
212,7113539584,58985472,16718495744,9900023808,7127457792,2.3502
213,7147094016,58985472,16718495744,9933643776,7161077760,2.3392
214,7180648448,58985472,16718495744,9967263744,7194697728,2.3283
215,7214202880,58985472,16718495744,10000883712,7228317696,2.3174
216,7247757312,58985472,16718495744,10034503680,7261937664,2.3067
217,7281311744,58985472,16718495744,10068123648,7295557632,2.2961
218,7314866176,58985472,16718495744,10101743616,7329177600,2.2856
219,7348420608,58985472,16718495744,10135363584,7362797568,2.2751
220,7381975040,58985472,16718495744,10168983552,7396417536,2.2648
221,7415529472,58985472,16718495744,10202603520,7430037504,2.2545
222,7449083904,58985472,16718495744,10236223488,7463657472,2.2444
223,7482638336,58985472,16718495744,10269843456,7497277440,2.2343
224,7516192768,58985472,16718495744,10303467520,7530901504,2.2243
225,7549747200,58985472,16718495744,10337087488,7564521472,2.2144
226,7583301632,58985472,16718495744,10370707456,7598141440,2.2046
227,7616856064,58985472,16718495744,10404327424,7631761408,2.1949
228,7650410496,58985472,16718495744,10437947392,7665381376,2.1853
229,7683964928,58985472,16718495744,10471567360,7699001344,2.1758
230,7717519360,58985472,16718495744,10505187328,7732621312,2.1663
231,7751073792,58985472,16718495744,10538807296,7766241280,2.1569
232,7784628224,58985472,16718495744,10572427264,7799861248,2.1476
233,7818182656,58985472,16718495744,10606047232,7833481216,2.1384
234,7851737088,58985472,16718495744,10639667200,7867101184,2.1293
235,7885291520,58985472,16718495744,10673287168,7900721152,2.1202
236,7918845952,58985472,16718495744,10706907136,7934341120,2.1112
237,7952400384,58985472,16718495744,10740527104,7967961088,2.1023
238,7985954816,58985472,16718495744,10774147072,8001581056,2.0935
239,8019509248,58985472,16718495744,10807767040,8035201024,2.0847
240,8053063680,58985472,16718495744,10841387008,8068820992,2.0760
241,8086618112,58985472,16718495744,10875006976,8102440960,2.0674
242,8120172544,58985472,16718495744,10908626944,8136060928,2.0589
243,8153726976,58985472,16718495744,10942246912,8169680896,2.0504
244,8187281408,58985472,16718495744,10975866880,8203300864,2.0420
245,8220835840,58985472,16718495744,11009486848,8236920832,2.0337
246,8254390272,58985472,16718495744,11043106816,8270540800,2.0254
247,8287944704,58985472,16718495744,11076726784,8304160768,2.0172
248,8321499136,58985472,16718495744,11110346752,8337780736,2.0091
249,8355053568,58985472,16718495744,11143966720,8371400704,2.0010
250,8388608000,58985472,16718495744,11177586688,8405020672,1.9930
